Node_index,Segment_index,Segment_PDF
0,-4,0.0031443342121748193
0,-3,0.007434221228054849
0,-2,0.015316907314704215
0,-1,0.023921252945168853
0,0,0.02902818993410542
0,1,0.030279387537035667
0,2,0.027808134950117115
0,3,0.021820073227358416
0,4,0.01477192648932312
0,5,0.009192882023726118
0,6,0.005673083515830804
0,7,0.003398030741600045
0,8,0.0019138875359252152
0,9,0.006297688344875322
1,-6,0.0027219749959569253
1,-5,0.0054742119170196005
1,-4,0.010311199271170505
1,-3,0.016170364884496795
1,-2,0.021312629233887926
1,-1,0.02513912148967291
1,0,0.027321081171808433
1,1,0.02591996648203993
1,2,0.020127382086978684
1,3,0.013598381338123754
1,4,0.009367339362973326
1,5,0.006708694820881165
1,6,0.00501718757207448
1,7,0.004008553384387623
1,8,0.006801911988527956
2,-10,0.0021189200804425296
2,-9,0.0038907142682957094
2,-8,0.0071083124842198295
2,-7,0.012639242695030629
2,-6,0.019346550896574485
2,-5,0.024536145015738704
2,-4,0.025993688264041904
2,-3,0.02446398200984822
2,-2,0.02228421197196025
2,-1,0.019115976221780677
2,0,0.014157031854370016
2,1,0.008840844514408927
2,2,0.004886171659339852
2,3,0.0027402822095863714
2,4,0.0017918344773914636
2,5,0.0012529793016180706
2,6,0.004833112075352375
3,-4,0.0029432131441882625
3,-3,0.012623902459565373
3,-2,0.036134234667803286
3,-1,0.053902314227828894
3,0,0.040596404171842876
3,1,0.020246316930069404
3,2,0.01585614588106003
3,3,0.012108302454877814
3,4,0.004425187569320083
3,5,0.0011639784934439833
4,-6,0.0016442218872933334
4,-5,0.006329829162473566
4,-4,0.013600556543997899
4,-3,0.020991030309906206
4,-2,0.027000889298944904
4,-1,0.0328806881612155
4,0,0.034023899553020084
4,1,0.02594705757241328
4,2,0.01684679049991164
4,3,0.010482762658050985
4,4,0.0056508815853474476
4,5,0.004601392767425152
5,-5,0.0029697318895035643
5,-4,0.007460449985825587
5,-3,0.014209629515139766
5,-2,0.021546305444528947
5,-1,0.02779067605267193
5,0,0.031475897587988036
5,1,0.030166234579442897
5,2,0.02301968389369089
5,3,0.013783535845690675
5,4,0.007595604158370209
5,5,0.0050451038126387215
5,6,0.0037744095237052105
5,7,0.002787168400482338
5,8,0.0019804597239584895
5,9,0.0012432424850055696
5,10,0.005151867101357193
6,-5,0.0008765864074165781
6,-4,0.00427895850435184
6,-3,0.01352896319784067
6,-2,0.02903514796800958
6,-1,0.04381644572987341
6,0,0.04459454935626149
6,1,0.030324355596912923
6,2,0.015285178567254417
6,3,0.007109790949141784
6,4,0.004476094322916513
6,5,0.006673929400020786
7,-6,0.001228375375413468
7,-5,0.007596960091933435
7,-4,0.010174106658579771
7,-3,0.012834690569726633
7,-2,0.015243009338102234
7,-1,0.017069680227146326
7,0,0.017969396449470328
7,1,0.01784987642522637
7,2,0.016721859474751126
7,3,0.014798210492498364
7,4,0.012342772340432554
7,5,0.009754645371653494
7,6,0.007330394092779954
7,7,0.005262109434538242
7,8,0.003678984165895822
7,9,0.0025745924147483265
7,10,0.001881406827256904
7,11,0.0014858703137100976
7,12,0.0012790296513626336
7,13,0.001159035156677753
7,14,0.0010569714390487245
7,15,0.000932706741749156
7,16,0.0007822402538529797
7,17,0.0006158665175854198
7,18,0.00045309583697138324
7,19,0.0003096593169656136
7,20,0.0001970531328177181
